Set,Variable,Phrase
1,1,what is your command?
1,1,how can I help?
1,1,what's up?
1,1,yo yo what's up?
1,1,whats up my human?
1,1,What do you want to know?
1,1,ready for input
1,1,whatcha need?
1,1,you called?
2,1,Let me think
2,1,Just a second
2,1,give me a moment
2,1,thats an easy one
2,1,thats tricky
2,1,i know this one
2,1,let me get you an answer
